TimeStamp,VehicleModel,SteeringAngle,AccelPedalRate,BrakePedalRate,Velocity,YawRate,RollRate,PitchRate,Latitude,Longitude,Height,Roll,Pitch,Yaw
0,IONIQ6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,IONIQ6,1,1,1,1,1,1,1,1,1,1,1,1,1
0.2,IONIQ6,2,2,2,2,2,2,2,2,2,2,2,2,2
0.3,IONIQ6,3,3,3,3,3,3,3,3,3,3,3,3,3
0.4,IONIQ6,4,4,4,4,4,4,4,4,4,4,4,4,4
0.5,IONIQ6,5,5,5,5,5,5,5,5,5,5,5,5,5
0.6,IONIQ6,6,6,6,6,6,6,6,6,6,6,6,6,6
0.7,IONIQ6,7,7,7,7,7,7,7,7,7,7,7,7,7
0.8,IONIQ6,8,8,8,8,8,8,8,8,8,8,8,8,8
0.9,IONIQ6,9,9,9,9,9,9,9,9,9,9,9,9,9
1,IONIQ6,10,10,10,10,10,10,10,10,10,10,10,10,10
1.1,IONIQ6,11,11,11,11,11,11,11,11,11,11,11,11,11
1.2,IONIQ6,12,12,12,12,12,12,12,12,12,12,12,12,12
1.3,IONIQ6,13,13,13,13,13,13,13,13,13,13,13,13,13
1.4,IONIQ6,14,14,14,14,14,14,14,14,14,14,14,14,14
1.5,IONIQ6,15,15,15,15,15,15,15,15,15,15,15,15,15
1.6,IONIQ6,16,16,16,16,16,16,16,16,16,16,16,16,16
1.7,IONIQ6,17,17,17,17,17,17,17,17,17,17,17,17,17
1.8,IONIQ6,18,18,18,18,18,18,18,18,18,18,18,18,18
1.9,IONIQ6,19,19,19,19,19,19,19,19,19,19,19,19,19
2,IONIQ6,20,20,20,20,20,20,20,20,20,20,20,20,20
2.1,IONIQ6,21,21,21,21,21,21,21,21,21,21,21,21,21
2.2,IONIQ6,22,22,22,22,22,22,22,22,22,22,22,22,22
2.3,IONIQ6,23,23,23,23,23,23,23,23,23,23,23,23,23
2.4,IONIQ6,24,24,24,24,24,24,24,24,24,24,24,24,24
2.5,IONIQ6,25,25,25,25,25,25,25,25,25,25,25,25,25
2.6,IONIQ6,26,26,26,26,26,26,26,26,26,26,26,26,26
2.7,IONIQ6,27,27,27,27,27,27,27,27,27,27,27,27,27
2.8,IONIQ6,28,28,28,28,28,28,28,28,28,28,28,28,28
2.9,IONIQ6,29,29,29,29,29,29,29,29,29,29,29,29,29
3,IONIQ6,30,30,30,30,30,30,30,30,30,30,30,30,30
3.1,IONIQ6,31,31,31,31,31,31,31,31,31,31,31,31,31
3.2,IONIQ6,32,32,32,32,32,32,32,32,32,32,32,32,32
3.3,IONIQ6,33,33,33,33,33,33,33,33,33,33,33,33,33
3.4,IONIQ6,34,34,34,34,34,34,34,34,34,34,34,34,34
3.5,IONIQ6,35,35,35,35,35,35,35,35,35,35,35,35,35
3.6,IONIQ6,36,36,36,36,36,36,36,36,36,36,36,36,36
3.7,IONIQ6,37,37,37,37,37,37,37,37,37,37,37,37,37
3.8,IONIQ6,38,38,38,38,38,38,38,38,38,38,38,38,38
3.9,IONIQ6,39,39,39,39,39,39,39,39,39,39,39,39,39
4,IONIQ6,40,40,40,40,40,40,40,40,40,40,40,40,40
4.1,IONIQ6,41,41,41,41,41,41,41,41,41,41,41,41,41
4.2,IONIQ6,42,42,42,42,42,42,42,42,42,42,42,42,42
4.3,IONIQ6,43,43,43,43,43,43,43,43,43,43,43,43,43
4.4,IONIQ6,44,44,44,44,44,44,44,44,44,44,44,44,44
4.5,IONIQ6,45,45,45,45,45,45,45,45,45,45,45,45,45
4.6,IONIQ6,46,46,46,46,46,46,46,46,46,46,46,46,46
